*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=led_grid
*Date=01:02:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
108;;;25.3492;-126.48;0;Bottom;Copper Fill23
109;;5050;106.139;-138.814;0;Top;RGB SMD LED9
110;;;77.7418;-14.3623;0;Bottom;Via541
111;;;107.68;-50.3331;0;Bottom;Via506
112;;;145.288;-103.645;0;Bottom;Copper Fill62
113;;;64.4547;-89.5925;0;Bottom;Via435
114;;5050;136.134;-128.819;0;Top;RGB SMD LED46
115;;;98.6917;-24.905;0;Bottom;Copper Fill453
116;;;164.433;-59.2488;0;Bottom;Via321
117;;5050;126.091;-88.8325;0;Top;RGB SMD LED115
118;;;115.265;-60.9476;0;Bottom;Copper Fill141
119;;;76.0733;-127.831;0;Bottom;Via164
120;;;95.2754;-83.8076;0;Bottom;Copper Fill89
121;;diode-1n4148;41.7389;-19.6741;90;Bottom;D1
122;;;102.705;-22.1872;0;Bottom;Copper Fill455
123;;;77.6275;-40.2228;0;Bottom;Via68
124;;;135.966;-68.0527;0;Bottom;Via358
125;;;102.705;-22.1872;0;Bottom;Copper Fill243
126;;;96.8756;-66.5356;0;Bottom;Copper Fill137
127;;5050;56.033;-39.8169;0;Top;RGB SMD LED24
128;;;116.095;-49.3885;0;Bottom;Via502
129;;;67.6789;-69.1706;0;Bottom;Via432
130;;;176.073;-79.3372;0;Bottom;Copper Fill365
131;;;126.657;-21.6324;0;Bottom;Via586
132;;;95.2754;-103.696;0;Bottom;Copper Fill61
133;;;36.8554;-83.0456;0;Bottom;Copper Fill98
134;;;37.64;-129.285;0;Bottom;Via187
135;;;166.116;-129.324;0;Bottom;Copper Fill286
136;;;94.5024;-139.353;0;Bottom;Via59
137;;;144.339;-69.3837;0;Bottom;Via339
138;;5050;156.033;-39.8169;0;Top;RGB SMD LED27
139;;;144.347;-50.2473;0;Bottom;Via492
140;;;77.7827;-89.5925;0;Bottom;Via420
141;;;76.835;-54.1912;0;Bottom;Copper Fill156
142;;;86.0606;-39.3019;0;Bottom;Via66
143;;;166.091;-89.3956;0;Bottom;Copper Fill349
144;;;145.989;-18.3641;0;Bottom;Via545
145;;;126.047;-108.25;0;Bottom;Via229
146;;;134.429;-50.3331;0;Bottom;Via497
147;;;76.038;-78.0753;0;Bottom;Via426
148;;;49.7389;-19.1141;0;Bottom;Via584
149;;5050;76.1337;-128.819;0;Top;RGB SMD LED56
150;;;76.8096;-34.4046;0;Bottom;Copper Fill197
151;;;45.339;-133.541;0;Bottom;Copper Fill11
152;;;56.134;-129.299;0;Bottom;Copper Fill276
153;;;107.684;-40.3461;0;Bottom;Via54
154;;;26.0604;-89.5226;0;Bottom;Copper Fill335
155;;;174.454;-79.2753;0;Bottom;Via306
156;;;146.025;-50.3304;0;Bottom;Copper Fill408
157;;5050;96.0199;-58.7905;0;Top;RGB SMD LED160
158;;;76.0151;-67.8134;0;Bottom;Via423
159;;;97.7446;-119.322;0;Bottom;Via151
160;;5050;26.0915;-88.8325;0;Top;RGB SMD LED104
161;;;166.114;-127.874;0;Bottom;Via110
162;;;34.5513;-79.4322;0;Bottom;Via476
163;;;176.051;-78.0203;0;Bottom;Via308
164;;;101.016;-38.7988;0;Bottom;Copper Fill419
165;;;102.739;-21.6141;0;Bottom;Via540
166;;;172.179;-12.3641;0;Bottom;S2
167;;;114.455;-99.2603;0;Bottom;Via237
168;;;41.6941;-9.1062;0;Bottom;Copper Fill233
169;;;36.8808;-113.729;0;Bottom;Copper Fill52
170;;;17.7239;-128.405;0;Bottom;Via566
171;;;145.313;-132.88;0;Bottom;Copper Fill10
172;;;117.645;-40.4751;0;Bottom;Via44
173;;;174.44;-69.1633;0;Bottom;Via303
174;;5050;96.0199;-68.7904;0;Top;RGB SMD LED154
175;;;65.3542;-133.719;0;Bottom;Copper Fill2
176;;;85.9022;-68.0073;0;Bottom;Via412
177;;;66.0908;-79.515;0;Bottom;Copper Fill355
178;;;136.779;-44.844;0;Bottom;Copper Fill173
179;;;104.552;-129.358;0;Bottom;Via146
180;;5050;116.091;-88.8325;0;Top;RGB SMD LED108
181;;;167.769;-139.399;0;Bottom;Via13
182;;TSSOP;60.6659;-27.5509;180;Bottom;PCA9956B Addr 0x32
183;;;172.179;-22.8641;0;Bottom;S1
184;;;117.675;-99.4356;0;Bottom;Via235
185;;;106.07;-99.454;0;Bottom;Copper Fill327
186;220;1206 [SMD];44.4889;-18.3141;90;Top;R1 10kOhm
187;;;27.7018;-89.2708;0;Bottom;Via296
188;;5050;86.0913;-78.8325;0;Top;RGB SMD LED145
189;;;97.6794;-69.2192;0;Bottom;Via395
190;;;66.4889;-24.3641;0;Bottom;Via535
191;;5050;86.0199;-58.7905;0;Top;RGB SMD LED146
192;;;136.881;-123.762;0;Bottom;Copper Fill25
193;;;104.479;-119.563;0;Bottom;Via147
194;;;146.888;-54.1404;0;Bottom;Copper Fill161
195;;5050;116.02;-58.7905;0;Top;RGB SMD LED105
196;;5050;76.0329;-39.8169;0;Top;RGB SMD LED28
